601;General de Ley Personas Morales;No;S¡;01/01/2022;
603;Personas Morales con Fines no Lucrativos;No;S¡;01/01/2022;
605;Sueldos y Salarios e Ingresos Asimilados a Salarios;S¡;No;01/01/2022;
606;Arrendamiento;S¡;No;01/01/2022;
607;R‚gimen de Enajenaci¢n o Adquisici¢n de Bienes;S¡;No;01/01/2022;
608;Dem s ingresos;S¡;No;01/01/2022;
610;Residentes en el Extranjero sin Establecimiento Permanente en M‚xico;S¡;S¡;01/01/2022;
611;Ingresos por Dividendos (socios y accionistas);S¡;No;01/01/2022;
612;Personas F¡sicas con Actividades Empresariales y Profesionales;S¡;No;01/01/2022;
614;Ingresos por intereses;S¡;No;01/01/2022;
615;R‚gimen de los ingresos por obtenci¢n de premios;S¡;No;01/01/2022;
616;Sin obligaciones fiscales;S¡;No;01/01/2022;
620;Sociedades Cooperativas de Producci¢n que optan por diferir sus ingresos;No;S¡;01/01/2022;
621;Incorporaci¢n Fiscal;S¡;No;01/01/2022;
622;Actividades Agr¡colas, Ganaderas, Silv¡colas y Pesqueras;No;S¡;01/01/2022;
623;Opcional para Grupos de Sociedades;No;S¡;01/01/2022;
624;Coordinados;No;S¡;01/01/2022;
625;R‚gimen de las Actividades Empresariales con ingresos a trav‚s de Plataformas Tecnol¢gicas;S¡;No;01/01/2022;
626;R‚gimen Simplificado de Confianza;S¡;S¡;01/01/2022;
